0,0,0,0,0,-0.0005,3.3011,-13.7815
0.0107,0.0093,0.875,0.0001,0,-0.0042,3.3015,-13.7804
0.0204,0.0233,1.4332,0.0003,-0.0001,-0.0125,3.3022,-13.7773
0.0302,0.038,1.5012,0.0007,-0.0002,-0.026,3.3033,-13.7717
0.0402,0.0528,1.4826,0.0012,-0.0003,-0.0452,3.305,-13.7633
0.0501,0.0677,1.5074,0.0019,-0.0005,-0.0697,3.3072,-13.752
0.0601,0.0826,1.492,0.0027,-0.0007,-0.0998,3.3098,-13.738
0.0701,0.0976,1.4957,0.0036,-0.0009,-0.1357,3.3131,-13.7211
0.0801,0.1126,1.5064,0.0047,-0.0011,-0.1768,3.3168,-13.7014
0.0901,0.1276,1.4966,0.0059,-0.0015,-0.2236,3.321,-13.679
0.1,0.1426,1.5049,0.0073,-0.0018,-0.2756,3.3259,-13.6538
0.11,0.1575,1.4973,0.0088,-0.0022,-0.3333,3.3313,-13.6259
0.12,0.1725,1.4982,0.0105,-0.0026,-0.3968,3.3375,-13.5952
0.13,0.1875,1.4989,0.0124,-0.003,-0.4659,3.3444,-13.5618
0.1401,0.2026,1.4994,0.0143,-0.0035,-0.5408,3.3519,-13.5255
0.15,0.2176,1.5044,0.0164,-0.004,-0.6209,3.3603,-13.4867
0.16,0.2325,1.4994,0.0187,-0.0045,-0.7067,3.3694,-13.4454
0.17,0.2475,1.4957,0.0211,-0.0051,-0.7987,3.3794,-13.4012
0.18,0.2625,1.5044,0.0237,-0.0057,-0.896,3.3905,-13.3545
0.19,0.2775,1.4966,0.0264,-0.0063,-0.9994,3.4023,-13.3052
0.2,0.2925,1.5008,0.0292,-0.007,-1.1086,3.4153,-13.2533
0.21,0.3075,1.501,0.0322,-0.0077,-1.2236,3.4294,-13.199
0.22,0.3225,1.5011,0.0353,-0.0084,-1.3442,3.4452,-13.1422
0.23,0.3375,1.4982,0.0386,-0.0092,-1.4711,3.4619,-13.0831
0.24,0.3525,1.4987,0.0421,-0.01,-1.6042,3.4804,-13.0214
0.25,0.3675,1.5018,0.0456,-0.0108,-1.743,3.5006,-12.9575
0.26,0.3825,1.4992,0.0494,-0.0117,-1.8881,3.5223,-12.8913
0.27,0.3975,1.5021,0.0532,-0.0126,-2.0389,3.5459,-12.823
0.28,0.4125,1.4973,0.0573,-0.0135,-2.1965,3.5719,-12.7526
0.29,0.4275,1.5002,0.0614,-0.0144,-2.3603,3.6,-12.68
0.3,0.4425,1.5027,0.0658,-0.0154,-2.5298,3.6307,-12.6056
0.31,0.4575,1.4961,0.0702,-0.0164,-2.7066,3.6644,-12.5293
0.32,0.4725,1.5031,0.0748,-0.0174,-2.8891,3.7011,-12.4512
0.33,0.4875,1.499,0.0796,-0.0184,-3.0784,3.7413,-12.3715
0.34,0.5025,1.4993,0.0845,-0.0195,-3.2744,3.7853,-12.2902
0.35,0.5175,1.5016,0.0896,-0.0206,-3.4767,3.8336,-12.2075
0.36,0.5325,1.498,0.0948,-0.0217,-3.6863,3.8869,-12.1236
0.37,0.5475,1.502,0.1001,-0.0229,-3.9021,3.9456,-12.0385
0.38,0.5625,1.4987,0.1056,-0.024,-4.1252,4.0101,-11.9524
0.39,0.5775,1.499,0.1113,-0.0252,-4.3555,4.0821,-11.8654
0.4,0.5925,1.501,0.1171,-0.0264,-4.5926,4.1618,-11.7779
0.41,0.6075,1.5012,0.123,-0.0277,-4.8365,4.2507,-11.69
0.42,0.6225,1.4983,0.1291,-0.0289,-5.0882,4.3501,-11.6019
0.43,0.6375,1.5017,0.1354,-0.0302,-5.3466,4.462,-11.5139
0.44,0.6525,1.4975,0.1418,-0.0315,-5.6134,4.5883,-11.4261
0.45,0.6675,1.5022,0.1483,-0.0328,-5.8869,4.7312,-11.3389
0.46,0.6825,1.4995,0.155,-0.0341,-6.1682,4.8937,-11.2526
0.47,0.6975,1.4998,0.1618,-0.0355,-6.4574,5.0822,-11.1675
0.48,0.7125,1.4988,0.1689,-0.0368,-6.7548,5.2996,-11.0839
0.49,0.7275,1.5017,0.176,-0.0382,-7.0595,5.5532,-11.0022
0.5,0.7425,1.4994,0.1833,-0.0396,-7.3726,5.8541,-10.9228
0.51,0.7575,1.4997,0.1907,-0.0411,-7.6939,6.2144,-10.8462
0.52,0.7725,1.5,0.1983,-0.0425,-8.0236,6.6525,-10.7727
0.53,0.7875,1.5003,0.206,-0.044,-8.3616,7.1937,-10.7029
0.54,0.8025,1.4994,0.2139,-0.0454,-8.7084,7.8823,-10.6373
0.55,0.8175,1.5008,0.222,-0.0469,-9.0636,8.7803,-10.5765
0.56,0.8325,1.4999,0.2302,-0.0485,-9.4276,9.9893,-10.5211
0.57,0.8475,1.5002,0.2385,-0.05,-9.8004,11.7231,-10.4718
0.58,0.8625,1.4994,0.247,-0.0516,-10.1826,14.4062,-10.4292
0.59,0.8775,1.5007,0.2556,-0.0531,-10.5737,19.1066,-10.3941
0.6,0.8925,1.499,0.2644,-0.0548,-10.9746,29.1539,-10.3672
0.61,0.9075,1.5011,0.2733,-0.0564,-11.3844,65.6922,-10.3495
0.62,0.9225,1.4995,0.2824,-0.058,-11.804,165.4116,-10.3418
0.63,0.9375,1.4997,0.2916,-0.0597,-12.2335,35.9278,-10.3451
0.64,0.9525,1.5,0.301,-0.0614,-12.6729,19.8041,-10.3604
0.65,0.9675,1.5002,0.3105,-0.0632,-13.1222,13.4179,-10.3887
0.66,0.9825,1.5004,0.3202,-0.065,-13.5814,10.0555,-10.4313
0.67,0.9975,1.4997,0.33,-0.0668,-14.0509,7.987,-10.4892
0.68,1.0125,1.4999,0.3399,-0.0686,-14.5309,6.5738,-10.5639
0.69,1.0275,1.5009,0.35,-0.0705,-15.0207,5.5575,-10.6564
0.7,1.0425,1.4987,0.3603,-0.0725,-15.522,4.7887,-10.7684
0.71,1.0575,1.5012,0.3706,-0.0745,-16.0332,4.1924,-10.9011
0.72,1.0725,1.499,0.3812,-0.0765,-16.5558,3.7148,-11.0561
0.73,1.0875,1.5006,0.3918,-0.0787,-17.0888,3.3264,-11.235
0.74,1.1025,1.5,0.4026,-0.0808,-17.6327,3.0041,-11.4393
0.75,1.1175,1.5,0.4136,-0.0831,-18.1875,2.7337,-11.6705
0.76,1.1325,1.4994,0.4247,-0.0854,-18.7538,2.5041,-11.9306
0.77,1.1475,1.5008,0.4359,-0.0879,-19.3305,2.3074,-12.2209
0.78,1.1625,1.5001,0.4472,-0.0904,-19.9181,2.1377,-12.543
0.79,1.1775,1.4994,0.4587,-0.093,-20.5171,1.9904,-12.8987
0.8,1.1925,1.5006,0.4703,-0.0958,-21.1266,1.8617,-13.2896
0.81,1.2075,1.4998,0.482,-0.0986,-21.7469,1.7489,-13.717
0.82,1.2225,1.5003,0.4939,-0.1016,-22.3777,1.6498,-14.1823
0.83,1.2375,1.4995,0.5059,-0.1048,-23.0194,1.5623,-14.6868
0.84,1.2525,1.5005,0.5179,-0.1081,-23.6709,1.4851,-15.2316
0.85,1.2675,1.5001,0.5301,-0.1115,-24.3324,1.417,-15.8173
0.86,1.2825,1.4998,0.5424,-0.1151,-25.0037,1.3568,-16.4447
0.87,1.2975,1.5,0.5548,-0.119,-25.6844,1.3039,-17.1141
0.88,1.3125,1.5001,0.5673,-0.123,-26.3739,1.2573,-17.8254
0.89,1.3275,1.5002,0.5799,-0.1272,-27.0717,1.2167,-18.5781
0.9,1.3355,0.7946,0.5925,-0.1316,-27.7737,1.1816,-19.3691
0.91,1.3219,-1.352,0.6049,-0.1362,-28.4679,1.1519,-20.1881
0.92,1.3072,-1.4764,0.6171,-0.1409,-29.1538,1.1271,-21.0252
0.93,1.2941,-1.3028,0.6291,-0.1457,-29.8308,1.1066,-21.877
0.94,1.2834,-1.0786,0.641,-0.1507,-30.5006,1.09,-22.7412
0.95,1.2746,-0.8742,0.6527,-0.1558,-31.1631,1.0768,-23.616
0.96,1.2678,-0.6851,0.6642,-0.161,-31.8188,1.0667,-24.4992
0.97,1.2627,-0.5089,0.6756,-0.1664,-32.4688,1.0595,-25.3892
0.98,1.2592,-0.344,0.6869,-0.172,-33.1131,1.0551,-26.2842
0.99,1.2574,-0.1882,0.6981,-0.1778,-33.7522,1.0532,-27.1821
1,1.257,-0.0401,0.7092,-0.1837,-34.3866,1.0537,-28.0815
1.01,1.258,0.1015,0.7202,-0.1898,-35.0163,1.0566,-28.9805
1.02,1.2603,0.2376,0.7311,-0.1961,-35.6418,1.0617,-29.8774
1.03,1.264,0.3691,0.742,-0.2025,-36.2638,1.069,-30.771
1.04,1.269,0.497,0.7528,-0.2092,-36.882,1.0785,-31.6598
1.05,1.2752,0.622,0.7635,-0.216,-37.4967,1.0901,-32.5421
1.06,1.2827,0.7441,0.7742,-0.2231,-38.1082,1.1039,-33.4167
1.07,1.2913,0.8646,0.7849,-0.2304,-38.7166,1.1198,-34.2824
1.08,1.3011,0.9827,0.7955,-0.2379,-39.3229,1.1379,-35.1385
1.09,1.3122,1.1011,0.8061,-0.2456,-39.9266,1.1581,-35.9841
1.1,1.3243,1.2184,0.8167,-0.2535,-40.5278,1.1807,-36.8178
1.11,1.3377,1.3341,0.8273,-0.2617,-41.1273,1.2055,-37.6392
1.12,1.3522,1.4469,0.8379,-0.2701,-41.7253,1.2328,-38.4479
1.13,1.3671,1.4995,0.8485,-0.2787,-42.3207,1.2624,-39.2426
1.14,1.3821,1.4993,0.8591,-0.2876,-42.9146,1.2946,-40.0223
1.15,1.3971,1.5009,0.8697,-0.2968,-43.5053,1.3292,-40.7862
1.16,1.4121,1.4993,0.8802,-0.3061,-44.0939,1.3666,-41.5334
