0.91,1.3575,1.5013,0.6211,0,0.241,Infinity
0.92,1.3725,1.4994,0.6348,0,0.2449,Infinity
0.93,1.3875,1.4994,0.6487,0,0.2488,Infinity
0.94,1.4025,1.4994,0.6627,0,0.2527,Infinity
0.95,1.4175,1.5014,0.6769,0,0.2566,Infinity
0.96,1.4325,1.4995,0.6912,0,0.2606,Infinity
0.97,1.4475,1.4995,0.7057,0,0.2646,Infinity
0.98,1.4625,1.4995,0.7204,0,0.2685,Infinity
0.99,1.4775,1.5014,0.7351,0,0.2725,Infinity
1,1.4925,1.4995,0.75,0,0.2766,Infinity
1.01,1.5075,1.4996,0.7651,0,0.2806,Infinity
1.02,1.5225,1.4996,0.7804,0,0.2847,Infinity
1.03,1.5375,1.5014,0.7957,0,0.2887,Infinity
1.04,1.5525,1.4996,0.8112,0,0.2928,Infinity
1.05,1.5675,1.4996,0.8269,0,0.2969,Infinity
1.06,1.5825,1.4997,0.8427,0,0.3011,Infinity
1.07,1.5975,1.4997,0.8587,0,0.3052,Infinity
1.08,1.6125,1.4997,0.8749,0,0.3094,Infinity
1.09,1.6275,1.5016,0.8911,0,0.3136,Infinity
1.1,1.6425,1.498,0.9076,0,0.3178,Infinity
1.11,1.6575,1.5016,0.9241,0,0.322,Infinity
1.12,1.6725,1.4999,0.9408,0,0.3262,Infinity
1.13,1.6875,1.4999,0.9577,0,0.3305,Infinity
1.14,1.7025,1.4982,0.9748,0,0.3348,Infinity
1.15,1.7175,1.5017,0.9919,0,0.3391,Infinity
1.16,1.7325,1.5,1.0092,0,0.3434,Infinity
1.17,1.7475,1.5,1.0267,0,0.3477,Infinity
1.18,1.7625,1.4984,1.0444,0,0.3521,Infinity
1.19,1.7775,1.5018,1.0621,0,0.3565,Infinity
1.2,1.7925,1.4985,1.0801,0,0.3609,Infinity
1.21,1.8075,1.5002,1.0981,0,0.3653,Infinity
1.22,1.8225,1.5019,1.1163,0,0.3698,Infinity
1.23,1.8375,1.4969,1.1347,0,0.3743,Infinity
1.24,1.8525,1.502,1.1533,0,0.3787,Infinity
1.25,1.8675,1.5004,1.1719,0,0.3833,Infinity
