0.82,1.2225,1.4998,0.5044,0,-20.2068,Infinity,0
0.83,1.2375,1.5001,0.5167,0,-20.7882,Infinity,0
0.84,1.2525,1.5004,0.5293,0,-21.3813,Infinity,0
0.85,1.2675,1.4995,0.5419,0,-21.987,Infinity,0
0.86,1.2825,1.5009,0.5548,0,-22.6044,Infinity,0
0.87,1.2975,1.499,0.5677,0,-23.2353,Infinity,0
0.88,1.3125,1.5004,0.5809,0,-23.8788,Infinity,0
0.89,1.3275,1.4997,0.5941,0,-24.5358,Infinity,0
0.9,1.3425,1.5,0.6076,0,-25.2063,Infinity,0
0.91,1.3575,1.5003,0.6211,0,-25.8903,Infinity,0
0.92,1.3725,1.5005,0.6349,0,-26.5878,Infinity,0
0.93,1.3875,1.4989,0.6487,0,-27.3006,Infinity,0
0.94,1.4025,1.5011,0.6628,0,-28.0269,Infinity,0
0.95,1.4175,1.4995,0.6769,0,-28.7685,Infinity,0
0.96,1.4325,1.4998,0.6913,0,-29.5254,Infinity,0
0.97,1.4475,1.5001,0.7057,0,-30.2976,Infinity,0
0.98,1.4625,1.5003,0.7204,0,-31.0851,Infinity,0
0.99,1.4775,1.4997,0.7351,0,-31.8888,Infinity,0
1,1.4925,1.5,0.7501,0,-32.7087,Infinity,0
1.01,1.5075,1.5002,0.7651,0,-33.5448,Infinity,0
1.02,1.5225,1.4997,0.7804,0,-34.398,Infinity,0
1.03,1.5375,1.4999,0.7957,0,-35.2683,Infinity,0
1.04,1.5525,1.5001,0.8113,0,-36.1557,Infinity,0
1.05,1.5675,1.5003,0.8269,0,-37.0602,Infinity,0
1.06,1.5825,1.5004,0.8428,0,-37.9818,Infinity,0
1.07,1.5975,1.4991,0.8587,0,-38.9223,Infinity,0
1.08,1.6125,1.5007,0.8749,0,-39.8799,Infinity,0
1.09,1.6275,1.5001,0.8911,0,-40.8555,Infinity,0
1.1,1.6425,1.4995,0.9076,0,-41.85,Infinity,0
1.11,1.6575,1.5003,0.9241,0,-42.8625,Infinity,0
1.12,1.6725,1.4996,0.9409,0,-43.8939,Infinity,0
1.13,1.6875,1.5009,0.9577,0,-44.9424,Infinity,0
1.14,1.7025,1.4996,0.9748,0,-46.0098,Infinity,0
1.15,1.7175,1.4996,0.9919,0,-47.0961,Infinity,0
1.16,1.7325,1.5007,1.0093,0,-48.1995,Infinity,0
1.17,1.7475,1.4999,1.0267,0,-49.3209,Infinity,0
1.18,1.7625,1.4998,1.0444,0,-50.4603,Infinity,0
1.19,1.7775,1.5007,1.0621,0,-51.6159,Infinity,0
1.2,1.7925,1.4993,1.0801,0,-52.7895,Infinity,0
1.21,1.8075,1.5007,1.0981,0,-53.9784,Infinity,0
1.22,1.8225,1.4998,1.1164,0,-55.1835,Infinity,0
1.23,1.8375,1.5,1.1347,0,-56.4039,Infinity,0
1.24,1.8525,1.5001,1.1533,0,-57.6387,Infinity,0
1.25,1.8675,1.5002,1.1719,0,-58.887,Infinity,0
1.26,1.8825,1.4997,1.1908,0,-60.1488,Infinity,0
1.27,1.8975,1.5008,1.2097,0,-61.4214,Infinity,0
1.28,1.9125,1.4997,1.2289,0,-62.7057,Infinity,0
1.29,1.9275,1.5002,1.2481,0,-63.9999,Infinity,0
1.3,1.9425,1.5001,1.2676,0,-65.3031,Infinity,0
1.31,1.9575,1.5,1.2871,0,-66.6144,Infinity,0
1.32,1.9725,1.5003,1.3069,0,-67.932,Infinity,0
1.33,1.9875,1.4997,1.3267,0,-69.2559,Infinity,0
1.34,2.0025,1.5005,1.3468,0,-70.5834,Infinity,0
1.35,2.0175,1.5004,1.3669,0,-71.9136,Infinity,0
1.36,2.0325,1.4997,1.3873,0,-73.2465,Infinity,0
1.37,2.0475,1.5001,1.4077,0,-74.5803,Infinity,0
1.38,2.0625,1.5,1.4284,0,-75.9141,Infinity,0
1.39,2.0775,1.5004,1.4491,0,-77.2461,Infinity,0
1.4,2.0925,1.5003,1.4701,0,-78.5754,Infinity,0
1.41,2.1075,1.4997,1.4911,0,-79.902,Infinity,0
1.42,2.1225,1.5002,1.5124,0,-81.2241,Infinity,0
1.43,2.1375,1.5002,1.5337,0,-82.5408,Infinity,0
1.44,2.1525,1.4997,1.5553,0,-83.8521,Infinity,0
1.45,2.1675,1.5003,1.5769,0,-85.1562,Infinity,0
1.46,2.1825,1.5005,1.5988,0,-86.4522,Infinity,0
1.47,2.1975,1.4996,1.6207,0,-87.741,Infinity,0
1.48,2.2125,1.5003,1.6429,0,-89.0208,Infinity,0
1.49,2.2282,1.5644,1.6651,0,-90.207,Infinity,0
1.5,2.2273,-0.0828,1.6874,0,-91.1079,Infinity,0
1.51,2.2123,-1.5001,1.7095,0,-92.0052,Infinity,0
1.52,2.1973,-1.5009,1.7315,0,-92.898,Infinity,0
1.53,2.1823,-1.4994,1.7533,0,-93.7881,Infinity,0
1.54,2.1673,-1.4994,1.775,0,-94.6755,Infinity,0
1.55,2.1523,-1.501,1.7965,0,-95.5584,Infinity,0
1.56,2.1373,-1.4995,1.8179,0,-96.4386,Infinity,0
1.57,2.1223,-1.5003,1.8391,0,-97.3152,Infinity,0
1.58,2.1073,-1.5003,1.8602,0,-98.1882,Infinity,0
1.59,2.0923,-1.4995,1.8811,0,-99.0585,Infinity,0
1.6,2.0773,-1.5003,1.9019,0,-99.9252,Infinity,0
1.61,2.0623,-1.4996,1.9225,0,-100.7892,Infinity,0
1.62,2.0473,-1.5004,1.943,0,-101.6496,Infinity,0
1.63,2.0323,-1.4996,1.9633,0,-102.5073,Infinity,0
1.64,2.0173,-1.5004,1.9835,0,-103.3614,Infinity,0
1.65,2.0023,-1.5004,2.0035,0,-104.2119,Infinity,0
1.66,1.9873,-1.4996,2.0234,0,-105.0597,Infinity,0
1.67,1.9723,-1.4996,2.0431,0,-105.9048,Infinity,0
1.68,1.9573,-1.5005,2.0627,0,-106.7463,Infinity,0
1.69,1.9423,-1.4997,2.0821,0,-107.5851,Infinity,0
1.7,1.9273,-1.5005,2.1014,0,-108.4203,Infinity,0
