0,0,0,0,0,90,Infinity,90
0.0103,0.0116,1.125,0,0.0002,90,Infinity,90
0.0206,0.0232,1.125,0,0.0004,89.9999,Infinity,90
0.0301,0.038,1.5694,0,0.0008,89.9998,Infinity,90
0.0406,0.053,1.4223,0,0.0013,89.9997,Infinity,90
0.0505,0.0683,1.5467,0,0.002,89.9995,Infinity,90
0.0601,0.083,1.5245,0,0.0028,89.9993,Infinity,90
0.0703,0.0978,1.4578,0,0.0038,89.9991,Infinity,90
0.0801,0.1128,1.5233,0,0.0049,89.9988,Infinity,90
0.0901,0.1277,1.4935,0,0.0062,89.9985,Infinity,90
0.1001,0.1426,1.4957,0,0.0076,89.9981,Infinity,90
0.1101,0.1577,1.4972,0,0.0092,89.9977,Infinity,90
0.1202,0.1727,1.4982,0,0.0109,89.9972,Infinity,90
0.1301,0.1877,1.5142,0,0.0128,89.9968,Infinity,90
0.1402,0.2027,1.4833,0,0.0148,89.9963,Infinity,90
0.1501,0.2177,1.5131,0,0.017,89.9957,Infinity,90
0.16,0.2326,1.4986,0,0.0193,89.9951,Infinity,90
0.1702,0.2476,1.4878,0,0.0218,89.9945,Infinity,90
0.1801,0.2627,1.5118,0,0.0244,89.9938,Infinity,90
0.1901,0.2776,1.4999,0,0.0272,89.9931,Infinity,90
0.2,0.2925,1.5002,0,0.0301,89.9924,Infinity,90
0.2101,0.3075,1.4914,0,0.0332,89.9916,Infinity,90
0.2201,0.3226,1.5016,0,0.0364,89.9907,Infinity,90
0.23,0.3376,1.5102,0,0.0398,89.9898,Infinity,90
0.24,0.3525,1.4931,0,0.0433,89.9889,Infinity,90
0.2501,0.3675,1.4944,0,0.047,89.988,Infinity,90
0.26,0.3825,1.5101,0,0.0508,89.987,Infinity,90
0.27,0.3975,1.4951,0,0.0548,89.9859,Infinity,90
0.2801,0.4125,1.4961,0,0.0589,89.9848,Infinity,90
0.2901,0.4276,1.5033,0,0.0632,89.9837,Infinity,90
0.3,0.4426,1.5033,0,0.0676,89.9825,Infinity,90
0.31,0.4575,1.4973,0,0.0722,89.9813,Infinity,90
0.3201,0.4725,1.498,0,0.0769,89.98,Infinity,90
0.33,0.4875,1.5042,0,0.0818,89.9787,Infinity,90
0.3401,0.5025,1.4934,0,0.0868,89.9773,Infinity,90
0.3501,0.5176,1.5048,0,0.092,89.9758,Infinity,90
0.3601,0.5326,1.4997,0,0.0973,89.9744,Infinity,90
0.37,0.5476,1.5001,0,0.1028,89.9729,Infinity,90
0.38,0.5625,1.5006,0,0.1084,89.9713,Infinity,90
0.3901,0.5775,1.4964,0,0.1142,89.9697,Infinity,90
